1	1	127
2	8	127
3	12	127
4	13	127
5	15	127
6	22	127
7	26	127
8	29	127
9	30	127
10	31	127
11	40	127
12	44	127
13	45	127
14	48	127
15	56	127
16	60	127
17	61	127
18	64	127
19	65	127
20	68	127
21	71	127
22	83	127
23	84	127
24	87	127
25	88	127
26	90	127
27	101	127
28	104	127
29	107	127
30	115	127
31	118	127
32	119	127
33	124	127
34	125	127
35	135	127
36	136	127
37	137	127
38	140	127
39	143	127
40	148	127
41	151	127
42	155	127
43	168	127
44	169	127
45	170	127
46	174	127
47	182	127
48	184	127
49	187	127
50	188	127
51	189	127
52	198	127
53	199	127
54	201	127
55	205	127
56	208	127
57	210	127
58	212	127
59	213	127
60	215	127
61	216	127
62	218	127
63	220	127
64	227	127
65	228	127
66	229	127
67	233	127
68	239	127
69	242	127
70	245	127
71	252	127
72	253	127
73	257	127
74	259	127
75	260	127
76	271	127
77	279	127
78	280	127
79	283	127
80	284	127
81	286	127
82	296	127
83	299	127
84	300	127
85	304	127
86	311	127
87	312	127
88	315	127
89	317	127
90	319	127
91	321	127
92	322	127
93	325	127
94	327	127
95	331	127
96	335	127
97	336	127
98	341	127
99	345	127
100	346	127
101	347	127
102	351	127
103	352	127
104	356	127
105	359	127
106	360	127
107	362	127
108	363	127
109	364	127
110	366	127
111	367	127
112	370	127
113	371	127
114	374	127
115	376	127
116	380	127
117	391	127
118	393	127
119	394	127
120	395	127
121	397	127
122	406	127
123	408	127
124	409	127
125	414	127
126	416	127
127	418	127
128	431	127
129	432	127
130	435	127
131	437	127
132	440	127
133	449	127
134	456	127
135	457	127
136	461	127
137	463	127
138	476	127
139	479	127
140	481	127
141	483	127
142	487	127
143	489	127
144	492	127
145	493	127
146	495	127
147	498	127
148	506	127
149	510	127
150	512	127
151	518	127
152	521	127
153	527	127
154	528	127
155	530	127
156	531	127
157	541	127
158	542	127
159	545	127
160	549	127
161	558	127
162	566	127
163	571	127
164	572	127
165	573	127
166	576	127
167	580	127
168	582	127
169	584	127
170	589	127
171	590	127
172	591	127
173	595	127
174	596	127
175	599	127
176	601	127
177	612	127
178	613	127
179	614	127
180	615	127
181	616	127
182	617	127
183	622	127
184	624	127
185	626	127
186	627	127
187	629	127
188	637	127
189	639	127
190	640	127
191	643	127
192	648	127
193	650	127
194	655	127
195	658	127
196	660	127
197	662	127
198	664	127
199	668	127
200	674	127
201	676	127
202	677	127
203	678	127
204	679	127
205	685	127
206	689	127
207	690	127
208	691	127
209	695	127
210	698	127
211	699	127
212	702	127
213	706	127
214	707	127
215	710	127
216	714	127
217	719	127
218	728	127
219	731	127
220	734	127
221	742	127
222	743	127
223	746	127
224	757	127
225	761	127
226	763	127
227	770	127
228	773	127
229	778	127
230	779	127
231	783	127
232	791	127
233	792	127
234	794	127
235	795	127
236	805	127
237	809	127
238	814	127
239	820	127
240	823	127
241	831	127
242	833	127
243	834	127
244	835	127
245	841	127
246	852	127
247	856	127
248	864	127
249	865	127
250	866	127
251	877	127
252	885	127
253	886	127
254	887	127
255	898	127
256	900	127
257	903	127
258	905	127
259	906	127
260	912	127
261	913	127
262	919	127
263	922	127
264	924	127
265	925	127
266	927	127
267	930	127
268	940	127
269	945	127
270	947	127
271	948	127
272	953	127
273	962	127
274	967	127
275	971	127
276	972	127
277	975	127
278	976	127
279	980	127
280	988	127
281	991	127
282	993	127
283	990	124
284	671	121
285	396	120
286	507	111
287	79	104
288	548	100
289	307	93
290	784	89
291	165	86
292	799	79
293	562	74
294	423	71
295	441	66
296	755	65
297	258	61
298	899	57
299	147	55
300	842	55
301	623	51
302	705	49
303	305	46
304	504	46
305	502	43
306	453	42
307	593	40
308	114	38
309	995	37
