0	-128
1	127
2	-128
3	-128
4	-128
5	-79
6	-128
7	-128
8	127
9	-128
10	-128
11	-128
12	127
13	127
14	-128
15	127
16	-128
17	-128
18	-128
19	-128
20	-128
21	-128
22	127
23	-128
24	-58
25	-128
26	127
27	-64
28	8
29	127
30	127
31	127
32	-128
33	-128
34	-126
35	-128
36	-128
37	-128
38	-128
39	-128
40	127
41	-128
42	-128
43	-29
44	127
45	127
46	-128
47	-128
48	127
49	-128
50	-128
51	-128
52	-128
53	-128
54	-128
55	-128
56	127
57	-128
58	-128
59	-128
60	127
61	127
62	-128
63	-128
64	127
65	127
66	-128
67	-128
68	127
69	-128
70	-128
71	127
72	-128
73	-128
74	-128
75	-128
76	-128
77	-66
78	-128
79	104
80	-128
81	-128
82	-128
83	127
84	127
85	-128
86	-128
87	127
88	127
89	-128
90	127
91	-77
92	-128
93	-128
94	-128
95	-49
96	-128
97	-128
98	-128
99	-128
100	-128
101	127
102	-84
103	-128
104	127
105	-128
106	-128
107	127
108	26
109	-67
110	-128
111	-128
112	-128
113	-128
114	38
115	127
116	-54
117	-128
118	127
119	127
120	-69
121	-128
122	-128
123	-128
124	127
125	127
126	-128
127	-128
128	-128
129	-128
130	-128
131	-128
132	-128
133	-128
134	-128
135	127
136	127
137	127
138	-128
139	-128
140	127
141	-128
142	-128
143	127
144	-128
145	-128
146	-73
147	55
148	127
149	-128
150	-128
151	127
152	-128
153	-42
154	-128
155	127
156	-128
157	-128
158	-128
159	-128
160	-128
161	-128
162	-128
163	-128
164	-128
165	86
166	-128
167	-128
168	127
169	127
170	127
171	-128
172	-128
173	-128
174	127
175	-128
176	-128
177	-55
178	-7
179	-128
180	-128
181	-128
182	127
183	-128
184	127
185	-128
186	-128
187	127
188	127
189	127
190	-128
191	-128
192	-128
193	-128
194	-128
195	-128
196	-128
197	-128
198	127
199	127
200	-128
201	127
202	-128
203	-128
204	-128
205	127
206	-128
207	-128
208	127
209	31
210	127
211	-128
212	127
213	127
214	-23
215	127
216	127
217	-128
218	127
219	-128
220	127
221	-128
222	-128
223	-128
224	-88
225	-128
226	-128
227	127
228	127
229	127
230	-128
231	-128
232	-128
233	127
234	-128
235	-128
236	-128
237	-128
238	-128
239	127
240	-42
241	-128
242	127
243	-128
244	-128
245	127
246	-128
247	-128
248	-128
249	-128
250	-128
251	-128
252	127
253	127
254	-128
255	-128
256	-128
257	127
258	61
259	127
260	127
261	-128
262	-128
263	-128
264	-128
265	-128
266	-128
267	-128
268	-128
269	-128
270	-128
271	127
272	-128
273	-128
274	-128
275	-128
276	-128
277	-128
278	-128
279	127
280	127
281	-128
282	-128
283	127
284	127
285	-128
286	127
287	-81
288	-128
289	-128
290	-73
291	-128
292	-128
293	-128
294	-128
295	-128
296	127
297	-104
298	-31
299	127
300	127
301	-128
302	-14
303	-128
304	127
305	46
306	-128
307	93
308	-128
309	-128
310	-128
311	127
312	127
313	-128
314	-128
315	127
316	-128
317	127
318	-128
319	127
320	-128
321	127
322	127
323	-128
324	-128
325	127
326	-128
327	127
328	-128
329	-128
330	-128
331	127
332	-128
333	-72
334	-128
335	127
336	127
337	-128
338	-128
339	-128
340	-128
341	127
342	-128
343	-128
344	-93
345	127
346	127
347	127
348	-128
349	-128
350	-128
351	127
352	127
353	-128
354	-128
355	-128
356	127
357	-128
358	-128
359	127
360	127
361	-128
362	127
363	127
364	127
365	-128
366	127
367	127
368	-128
369	-128
370	127
371	127
372	-128
373	-128
374	127
375	-128
376	127
377	35
378	-128
379	-128
380	127
381	-128
382	-128
383	-128
384	-46
385	-128
386	-128
387	-128
388	-128
389	-128
390	-128
391	127
392	-128
393	127
394	127
395	127
396	120
397	127
398	-128
399	-128
400	-128
401	2
402	-128
403	-128
404	-128
405	-128
406	127
407	-128
408	127
409	127
410	-128
411	-128
412	-128
413	-128
414	127
415	-128
416	127
417	-128
418	127
419	-128
420	-5
421	-128
422	-128
423	71
424	-128
425	-128
426	-128
427	-128
428	-128
429	-128
430	-128
431	127
432	127
433	-128
434	-19
435	127
436	-128
437	127
438	-128
439	-128
440	127
441	66
442	-128
443	-128
444	-128
445	-128
446	-128
447	-128
448	-128
449	127
450	-128
451	-128
452	-128
453	42
454	-37
455	-69
456	127
457	127
458	-128
459	-128
460	-128
461	127
462	-128
463	127
464	-128
465	-128
466	-128
467	-128
468	-128
469	-128
470	-110
471	-128
472	-128
473	-128
474	-128
475	-128
476	127
